sample_id,t,rot_err_deg,error_type
sample_0000,1,0.05031657219744862,relative
sample_0000,2,0.5765963112216914,relative
sample_0000,3,0.18509436181415898,relative
sample_0000,4,0.24769589700650596,relative
sample_0000,5,0.17157676972450703,relative
sample_0000,6,0.3149161642391205,relative
sample_0000,0,0.0,cumulative
sample_0000,1,0.05031657219744862,cumulative
sample_0000,2,0.42264388297622335,cumulative
sample_0000,3,0.5153849729987077,cumulative
sample_0000,4,0.7305193284819343,cumulative
sample_0000,5,0.6414086750382362,cumulative
sample_0000,6,0.4819797420753037,cumulative
sample_0001,1,6.072155843713446,relative
sample_0001,2,7.292210015872955,relative
sample_0001,3,8.022138609291702,relative
sample_0001,4,13.46421824554882,relative
sample_0001,5,12.796402155538411,relative
sample_0001,6,10.959463216445227,relative
sample_0001,0,0.0,cumulative
sample_0001,1,6.072155843713446,cumulative
sample_0001,2,13.35959380399149,cumulative
sample_0001,3,21.379950494929922,cumulative
sample_0001,4,34.843759312489304,cumulative
sample_0001,5,47.631538971139946,cumulative
sample_0001,6,58.600459584034674,cumulative
sample_0002,1,8.228062694207889,relative
sample_0002,2,10.87189980529804,relative
sample_0002,3,8.311159954236986,relative
sample_0002,4,11.66472935245824,relative
sample_0002,5,11.440172244847343,relative
sample_0002,6,7.257615847510624,relative
sample_0002,0,0.0,cumulative
sample_0002,1,8.228062694207889,cumulative
sample_0002,2,19.093342249449314,cumulative
sample_0002,3,27.33511612268892,cumulative
sample_0002,4,38.94759677951004,cumulative
sample_0002,5,50.355808045717154,cumulative
sample_0002,6,57.538308235928184,cumulative
sample_0003,1,1.2458902133371268,relative
sample_0003,2,0.11709308094535892,relative
sample_0003,3,2.1584539142051034,relative
sample_0003,4,5.669590276636262,relative
sample_0003,5,6.327899209173108,relative
sample_0003,6,6.249261439305411,relative
sample_0003,0,0.0,cumulative
sample_0003,1,1.2458902133371268,cumulative
sample_0003,2,1.166500091788073,cumulative
sample_0003,3,1.0067671787382457,cumulative
sample_0003,4,6.669966703360593,cumulative
sample_0003,5,12.997226356582077,cumulative
sample_0003,6,19.245797499441068,cumulative
sample_0004,1,3.3671450139401937,relative
sample_0004,2,2.0850118462749507,relative
sample_0004,3,1.8503709519565845,relative
sample_0004,4,9.639546132933122,relative
sample_0004,5,17.589607328255518,relative
sample_0004,6,15.140004390748091,relative
sample_0004,0,0.0,cumulative
sample_0004,1,3.3671450139401937,cumulative
sample_0004,2,2.588181749861323,cumulative
sample_0004,3,1.6541230318867148,cumulative
sample_0004,4,9.500242100085122,cumulative
sample_0004,5,26.97854419643889,cumulative
sample_0004,6,42.084543373248685,cumulative
sample_0005,1,1.080143915066468,relative
sample_0005,2,0.7136851334659768,relative
sample_0005,3,1.3632054237535542,relative
sample_0005,4,2.5152434265853314,relative
sample_0005,5,5.52376107177067,relative
sample_0005,6,4.014519184961206,relative
sample_0005,0,0.0,cumulative
sample_0005,1,1.080143915066468,cumulative
sample_0005,2,1.1230467721124677,cumulative
sample_0005,3,1.9788369114735498,cumulative
sample_0005,4,4.4342421131484056,cumulative
sample_0005,5,9.82747603651139,cumulative
sample_0005,6,13.744116057561985,cumulative
sample_0006,1,1.5728301320303144,relative
sample_0006,2,1.755720884383267,relative
sample_0006,3,1.844773433058039,relative
sample_0006,4,0.30155913468488355,relative
sample_0006,5,0.4491805818649629,relative
sample_0006,6,0.3537894179609312,relative
sample_0006,0,0.013988227454926254,cumulative
sample_0006,1,1.5728301320303144,cumulative
sample_0006,2,3.3252987337588555,cumulative
sample_0006,3,5.161898512441904,cumulative
