sample_id,corruption_scale,corruption_final_deg
sample_0000,10.0,167.27993774414062
sample_0000,50.0,116.39969635009766
sample_0000,100.0,127.2005844116211
sample_0001,10.0,167.27993774414062
sample_0001,50.0,116.39971160888672
sample_0001,100.0,127.2005844116211
sample_0002,10.0,167.27993774414062
sample_0002,50.0,116.39969635009766
sample_0002,100.0,127.2005844116211
sample_0003,10.0,167.27993774414062
sample_0003,50.0,116.39971160888672
sample_0003,100.0,127.2005844116211
sample_0004,10.0,167.27993774414062
sample_0004,50.0,116.39971160888672
sample_0004,100.0,127.2005844116211
